driver_id,week,month,hard_brakes_per_100km,hard_accels_per_100km,speeding_per_100km,sharp_turns_per_100km,phone_use_per_100km,high_severity_events,total_events_per_100km,fuel_per_100km,co2_kg,co2_per_km,idle_time_pct,idle_fuel_pct,idle_during_delivery_pct,daily_steps,daily_floors,daily_lifting_events,avg_package_weight_kg,daily_walk_minutes,total_km,total_hours,daily_hours,daily_km,trips_per_day,night_driving_pct,n_working_days,age,experience_years,shift,region,has_eco_training,has_safety_training,total_events_per_100km_trend,fuel_per_100km_trend,daily_hours_trend,daily_steps_trend,co2_per_km_trend
D002,3,1,3.54,0.39,2.75,1.97,0.39,4,10.23,21.89,128.55,0.5057,113.6,32.1,40.9,2623,82.0,5.0,6.0,21.6,254.2,7.1,3.6,127.1,9.5,0.0,2,33,1,day,northeast,True,False,,,,,
D002,4,1,1.89,0.47,1.73,1.57,0.31,7,8.64,23.85,350.54,0.5508,120.4,35.8,35.1,2893,76.3,4.5,5.8,23.8,636.4,20.7,3.5,106.1,9.2,0.0,6,33,1,day,northeast,True,False,,,,,
D002,5,1,2.23,0.48,1.76,0.8,1.12,5,7.18,16.27,235.41,0.3758,69.5,18.7,32.3,1554,42.5,3.8,6.6,12.8,626.4,14.8,3.7,156.6,8.5,0.0,4,33,1,day,northeast,True,False,-1.2599999999999998,-10.77,0.10000000000000009,-1671.0,-0.24880000000000002
D002,6,2,1.95,0.84,0.98,1.25,0.56,5,7.67,21.68,359.25,0.5008,113.5,31.8,36.0,2807,64.0,6.8,6.7,23.1,717.3,18.1,3.6,143.5,9.2,0.0,5,33,1,day,northeast,True,False,-0.009999999999999787,-1.9100000000000001,0.30000000000000027,628.0,-0.04420000000000002
D002,7,2,1.0,1.4,2.61,2.41,0.4,4,8.83,23.55,271.15,0.544,118.6,34.5,38.5,1714,27.5,3.2,5.7,14.2,498.4,14.2,3.6,124.6,9.0,0.0,4,33,1,day,northeast,True,False,-1.4000000000000004,1.6600000000000001,0.0,-909.0,0.0383
D002,8,2,1.42,1.42,0.85,1.42,0.0,8,6.4,20.6,334.35,0.4759,103.6,30.3,29.3,2052,43.0,5.7,6.5,16.9,702.6,19.3,3.2,117.1,7.7,0.0,6,33,1,day,northeast,True,False,-2.24,-3.25,-0.2999999999999998,-841.0,-0.07489999999999997
D002,9,2,1.67,1.48,0.74,2.59,1.11,6,9.07,19.3,240.82,0.4459,143.0,31.8,35.5,1595,32.5,3.8,6.1,13.2,540.1,12.8,3.2,135.0,8.0,0.0,4,33,1,day,northeast,True,False,1.8900000000000006,3.030000000000001,-0.5,41.0,0.0701
D002,10,3,2.39,1.2,1.63,2.06,0.65,10,10.54,20.73,440.63,0.4788,105.3,35.0,34.5,2440,52.9,6.7,6.7,20.1,920.2,27.8,4.0,131.5,9.6,0.0,7,33,1,day,northeast,True,False,2.869999999999999,-0.9499999999999993,0.3999999999999999,-367.0,-0.02200000000000002
D002,11,3,2.32,1.86,2.48,1.39,0.93,9,10.68,20.49,305.87,0.4733,125.5,38.8,34.5,2585,68.0,4.7,5.8,21.3,646.2,19.4,3.2,107.7,9.2,0.0,6,33,1,day,northeast,True,False,1.8499999999999996,-3.0600000000000023,-0.3999999999999999,871.0,-0.07070000000000004
D002,12,3,1.93,1.5,1.5,1.29,0.43,6,9.85,23.71,255.69,0.5478,123.1,39.9,35.2,3314,79.0,5.8,5.7,27.2,466.8,15.3,3.8,116.7,10.2,0.0,4,33,1,day,northeast,True,False,3.4499999999999993,3.1099999999999994,0.5999999999999996,1262.0,0.07189999999999996
D002,13,3,2.62,1.31,1.46,1.89,0.29,6,9.76,18.81,298.17,0.4344,100.5,35.8,35.1,2661,63.0,6.2,6.3,21.9,686.4,19.5,4.9,171.6,10.5,0.0,4,33,1,day,northeast,True,False,0.6899999999999995,-0.490000000000002,1.7000000000000002,1066.0,-0.01150000000000001
D002,14,4,2.66,1.33,1.33,1.77,0.3,4,9.61,20.81,325.27,0.4808,125.3,36.8,32.2,2922,70.0,6.2,6.0,24.1,676.5,17.9,4.5,169.1,10.5,0.0,4,33,1,day,northeast,True,False,-0.9299999999999997,0.0799999999999983,0.5,482.0,0.0020000000000000018
D002,15,4,2.72,1.29,1.43,2.58,0.57,11,11.46,23.57,379.9,0.5444,153.6,43.4,36.3,2083,50.6,3.6,5.9,17.1,697.8,19.4,2.8,99.7,7.1,0.0,7,33,1,day,northeast,True,False,0.7800000000000011,3.080000000000002,-0.40000000000000036,-502.0,0.0711
D002,16,4,2.93,0.79,2.14,2.48,0.45,15,11.5,21.89,448.37,0.5057,144.4,41.0,36.0,2506,58.9,5.0,5.8,20.7,886.7,24.4,3.5,126.7,9.7,0.0,7,33,1,day,northeast,True,False,1.6500000000000004,-1.8200000000000003,-0.2999999999999998,-808.0,-0.042099999999999915
D002,17,4,2.9,0.88,2.64,2.64,1.01,8,12.97,17.73,325.27,0.4096,115.2,37.5,37.6,2446,65.2,6.8,7.1,20.2,794.2,19.7,3.9,158.8,9.4,0.0,5,33,1,day,northeast,True,False,3.210000000000001,-1.0799999999999983,-1.0000000000000004,-215.0,-0.02479999999999999
D002,18,5,1.97,1.31,2.3,1.97,0.98,2,11.49,21.68,152.53,0.5008,125.1,39.3,39.0,1480,38.5,2.8,6.0,12.2,304.6,10.0,2.5,76.2,6.0,0.0,4,33,1,day,northeast,True,False,1.8800000000000008,0.870000000000001,-2.0,-1442.0,0.020000000000000018
D002,19,5,3.16,1.23,1.93,1.4,0.7,8,11.06,17.61,231.74,0.4068,110.2,33.6,36.7,1709,35.6,3.8,5.7,14.1,569.7,15.1,3.0,113.9,7.4,0.0,5,33,1,day,northeast,True,False,-0.40000000000000036,-5.960000000000001,0.20000000000000018,-374.0,-0.1376
D002,20,5,3.99,1.04,2.22,2.07,0.59,8,14.34,21.75,339.69,0.5023,118.4,36.1,29.1,2026,41.3,3.5,5.7,16.7,676.2,18.8,3.1,112.7,8.0,0.0,6,33,1,day,northeast,True,False,2.84,-0.14000000000000057,-0.3999999999999999,-480.0,-0.0034000000000000696
D002,21,5,4.21,1.68,1.68,3.03,1.01,15,15.31,22.18,304.55,0.5123,137.7,42.0,30.3,2065,54.0,5.0,6.3,17.0,594.5,17.0,3.4,118.9,8.0,0.0,5,33,1,day,northeast,True,False,2.34,4.449999999999999,-0.5,-381.0,0.10269999999999996
D002,22,5,3.42,1.5,2.56,1.28,0.85,7,11.75,24.91,269.21,0.5754,156.3,45.9,35.4,2714,77.5,4.0,5.8,22.3,467.9,14.3,3.6,117.0,8.5,0.0,4,33,1,day,northeast,True,False,0.2599999999999998,3.2300000000000004,1.1,1234.0,0.0746
D002,23,6,2.76,1.58,1.97,1.58,0.59,5,9.87,22.92,268.33,0.5295,129.2,39.1,37.1,2681,52.5,5.5,5.8,22.1,506.8,15.2,3.8,126.7,10.0,0.0,4,33,1,day,northeast,True,False,-1.1900000000000013,5.310000000000002,0.7999999999999998,972.0,0.12269999999999998
D002,24,6,2.72,1.12,2.24,1.6,0.32,7,11.02,23.4,338.46,0.5406,151.6,44.6,34.1,2213,37.3,4.7,6.3,18.2,626.1,18.2,3.0,104.3,7.2,0.0,6,33,1,day,northeast,True,False,-3.3200000000000003,1.6499999999999986,-0.10000000000000009,187.0,0.0383
D002,25,6,3.07,1.54,3.07,1.75,0.44,4,12.72,19.35,203.83,0.447,96.4,33.0,39.5,3334,76.7,6.0,6.0,27.4,456.0,13.5,4.5,152.0,10.7,0.0,3,33,1,day,northeast,True,False,-2.59,-2.8299999999999983,1.1,1269.0,-0.06529999999999997
D002,26,6,3.18,1.39,1.79,2.39,0.6,7,12.13,21.52,249.85,0.497,109.5,37.2,35.7,2165,29.2,4.4,6.0,17.9,502.7,15.6,3.1,100.5,8.4,0.0,5,33,1,day,northeast,True,False,0.3800000000000008,-3.3900000000000006,-0.5,-549.0,-0.07840000000000003
D003,1,1,1.0,0.86,0.86,0.43,0.14,4,4.73,14.09,227.03,0.3256,49.3,13.4,21.7,676,2.7,4.0,6.1,5.6,697.3,11.2,3.7,232.4,8.7,100.0,3,29,2,night,midwest,True,True,,,,,
D003,2,1,1.29,0.82,0.18,0.82,0.41,14,4.75,13.34,525.89,0.3081,41.5,11.8,31.5,862,14.3,4.3,6.9,7.2,1706.7,28.3,4.0,243.8,9.1,100.0,7,29,2,night,midwest,True,True,,,,,
D003,3,1,1.19,0.49,0.32,0.7,0.43,11,4.48,13.01,557.03,0.3005,39.0,10.8,38.6,623,8.7,2.8,6.0,5.2,1853.6,29.1,4.9,308.9,8.8,100.0,6,29,2,night,midwest,True,True,,,,,
D003,4,1,1.04,1.04,0.47,1.14,0.47,2,5.01,12.8,312.61,0.2957,34.4,10.1,32.4,815,5.2,4.2,6.5,6.8,1057.2,18.0,3.6,211.4,7.4,100.0,5,29,2,night,midwest,True,True,,,,,
D003,5,2,1.0,0.91,0.63,0.91,0.36,6,4.8,14.38,366.78,0.3322,40.6,11.9,42.5,674,10.7,4.0,7.0,5.7,1104.0,19.3,3.2,184.0,7.5,100.0,6,29,2,night,midwest,True,True,0.0699999999999994,0.2900000000000009,-0.5,-2.0,0.006599999999999995
D003,6,2,0.58,1.02,0.87,1.16,0.29,3,4.93,13.63,216.98,0.3149,54.2,16.4,41.0,713,11.5,5.5,7.4,6.0,689.1,11.9,3.0,172.3,8.0,100.0,4,29,2,night,midwest,True,True,0.17999999999999972,0.2900000000000009,-1.0,-149.0,0.006800000000000028
D003,7,2,0.76,0.65,0.47,0.59,0.29,9,3.88,13.09,514.39,0.3023,46.7,13.8,31.6,601,6.6,3.7,6.8,5.0,1701.5,28.8,4.1,243.1,8.4,100.0,7,29,2,night,midwest,True,True,-0.6000000000000005,0.08000000000000007,-0.8000000000000007,-22.0,0.0018000000000000238
D003,8,2,1.1,0.44,0.73,0.88,0.44,10,4.92,13.35,420.19,0.3084,44.5,13.5,27.9,1156,25.6,5.2,6.1,9.6,1362.6,24.4,4.9,272.5,10.0,100.0,5,29,2,night,midwest,True,True,-0.08999999999999986,0.5499999999999989,1.3000000000000003,341.0,0.012699999999999989
D003,9,2,1.37,1.03,0.51,0.77,0.09,7,5.05,14.68,396.3,0.3392,56.1,16.1,42.6,786,12.4,3.6,6.1,6.6,1168.4,20.7,4.1,233.7,9.6,100.0,5,29,2,night,midwest,True,True,0.25,0.29999999999999893,0.8999999999999995,112.0,0.007000000000000006
D003,10,3,1.38,1.05,0.49,0.89,0.41,11,5.92,11.46,326.61,0.2647,34.0,11.5,33.3,835,16.8,3.6,6.0,7.0,1234.1,20.6,4.1,246.8,8.6,100.0,5,29,2,night,midwest,True,True,0.9900000000000002,-2.17,1.0999999999999996,122.0,-0.05020000000000002
D003,11,3,0.93,0.39,0.39,1.09,0.16,4,3.96,13.43,399.24,0.3102,51.4,16.7,34.5,812,9.0,4.5,6.6,6.8,1287.0,23.4,3.9,214.5,7.8,100.0,6,29,2,night,midwest,True,True,0.08000000000000007,0.33999999999999986,-0.19999999999999973,211.0,0.007899999999999963
D003,12,3,1.28,0.96,0.96,0.32,0.32,1,4.8,14.1,101.8,0.3258,64.9,18.7,38.2,702,9.0,3.0,7.0,5.9,312.5,5.3,2.6,156.2,7.5,100.0,2,29,2,night,midwest,True,True,-0.1200000000000001,0.75,-2.3000000000000003,-454.0,0.01739999999999997
D003,13,3,0.76,0.98,0.65,0.65,0.65,3,4.79,11.41,242.06,0.2635,44.1,12.1,31.0,685,6.5,3.8,6.3,5.7,918.8,14.6,3.6,229.7,8.0,100.0,4,29,2,night,midwest,True,True,-0.2599999999999998,-3.2699999999999996,-0.49999999999999956,-101.0,-0.07569999999999999
D003,14,4,1.26,1.07,0.58,0.97,0.1,2,4.76,13.55,322.15,0.313,49.3,15.9,36.2,960,13.2,3.4,5.8,8.0,1029.1,18.7,3.7,205.8,7.6,100.0,5,29,2,night,midwest,True,True,-1.1600000000000001,2.09,-0.39999999999999947,125.0,0.04830000000000001
D003,15,4,0.94,0.82,0.23,0.76,0.47,7,4.34,12.92,508.45,0.2985,60.8,16.7,27.7,1118,22.0,3.7,5.5,9.3,1703.2,29.5,4.2,243.3,9.3,100.0,7,29,2,night,midwest,True,True,0.3799999999999999,-0.5099999999999998,0.30000000000000027,306.0,-0.011699999999999988
D003,16,4,1.13,0.42,0.63,0.99,0.35,3,4.51,11.94,391.85,0.2759,38.9,12.1,33.9,854,10.0,2.8,5.7,7.1,1420.1,23.2,4.6,284.0,9.4,100.0,5,29,2,night,midwest,True,True,-0.29000000000000004,-2.16,1.9999999999999996,152.0,-0.0499
D003,17,4,0.82,0.74,0.59,0.52,0.45,8,4.45,12.66,394.18,0.2925,46.5,14.4,33.1,892,15.6,2.4,5.5,7.4,1347.8,23.3,4.7,269.6,8.6,100.0,5,29,2,night,midwest,True,True,-0.33999999999999986,1.25,1.1,207.0,0.02899999999999997
D003,18,5,1.28,0.73,0.73,0.82,0.27,5,4.74,12.39,314.0,0.2861,45.5,16.3,35.9,1059,19.2,3.2,6.2,8.8,1097.5,20.7,4.1,219.5,9.0,100.0,5,29,2,night,midwest,True,True,-0.019999999999999574,-1.1600000000000001,0.39999999999999947,99.0,-0.02689999999999998
D003,19,5,0.73,0.82,0.64,0.91,0.27,6,4.55,14.12,358.88,0.3262,81.8,24.1,37.2,1187,21.0,3.0,5.6,9.8,1100.1,20.6,3.4,183.4,9.0,100.0,6,29,2,night,midwest,True,True,0.20999999999999996,1.1999999999999993,-0.8000000000000003,69.0,0.027700000000000002
D003,20,5,1.21,0.35,0.35,0.95,0.09,4,3.62,12.86,344.4,0.2971,50.1,14.2,31.6,748,5.2,2.8,5.3,6.2,1159.3,20.4,4.1,231.9,9.2,100.0,5,29,2,night,midwest,True,True,-0.8899999999999997,0.9199999999999999,-0.5,-106.0,0.021199999999999997
D003,21,5,0.99,0.68,0.84,0.53,0.46,6,4.41,12.05,366.0,0.2782,37.9,11.8,41.7,689,8.3,3.0,6.3,5.7,1315.4,20.9,3.5,219.2,7.3,100.0,6,29,2,night,midwest,True,True,-0.040000000000000036,-0.6099999999999994,-1.2000000000000002,-203.0,-0.01429999999999998
D003,22,5,1.27,0.79,0.32,1.11,0.64,2,5.08,11.74,170.66,0.2712,45.6,13.1,36.7,764,4.0,3.7,6.5,6.4,629.4,9.5,3.2,209.8,7.0,100.0,3,29,2,night,midwest,True,True,0.33999999999999986,-0.6500000000000004,-0.8999999999999995,-295.0,-0.014900000000000024
D003,23,6,1.04,0.32,0.72,0.72,0.16,5,4.18,11.82,339.92,0.273,40.8,12.9,35.5,865,9.2,3.0,6.1,7.2,1245.1,20.9,4.2,249.0,8.0,100.0,5,29,2,night,midwest,True,True,-0.3700000000000001,-2.299999999999999,0.8000000000000003,-322.0,-0.05319999999999997
D003,24,6,0.99,0.3,1.28,0.89,0.2,5,4.93,12.4,290.32,0.2865,41.2,12.1,34.4,847,14.0,4.2,6.5,7.1,1013.4,16.3,4.1,253.4,8.5,100.0,4,29,2,night,midwest,True,True,1.3099999999999996,-0.4599999999999991,0.0,99.0,-0.010599999999999998
D003,25,6,0.97,0.81,0.65,0.81,0.27,6,4.69,13.17,564.43,0.3042,51.5,15.9,37.8,972,13.7,3.6,5.8,8.1,1855.6,32.4,4.6,265.1,9.4,100.0,7,29,2,night,midwest,True,True,0.28000000000000025,1.1199999999999992,1.0999999999999996,283.0,0.026000000000000023
D003,26,6,1.26,0.78,0.48,0.68,0.0,7,4.75,12.36,294.69,0.2856,31.8,10.8,35.5,754,14.3,3.8,6.7,6.3,1031.8,18.1,3.0,172.0,6.8,100.0,6,29,2,night,midwest,True,True,-0.33000000000000007,0.6199999999999992,-0.20000000000000018,-10.0,0.014400000000000024
D004,1,1,0.14,0.0,0.14,0.14,0.0,0,0.82,12.39,208.27,0.2862,40.2,16.3,33.3,1702,29.2,3.6,5.8,14.0,727.6,16.8,3.4,145.5,8.0,0.0,5,21,0,day,southeast,False,False,,,,,
D004,2,1,0.25,0.75,0.25,0.37,0.12,2,2.86,13.39,248.76,0.3094,44.6,16.8,34.7,1075,18.7,3.3,5.9,8.9,804.0,17.9,3.0,134.0,7.3,0.0,6,21,0,day,southeast,False,False,,,,,
D004,3,1,0.79,0.13,0.0,0.4,0.13,1,1.85,12.4,217.09,0.2864,34.7,15.0,34.3,1725,31.2,2.8,5.4,14.3,758.1,17.2,3.4,151.6,8.4,0.0,5,21,0,day,southeast,False,False,,,,,
D004,4,1,0.12,0.58,0.23,0.35,0.0,2,2.8,12.07,239.04,0.2787,33.1,14.1,38.1,1203,21.2,4.4,6.2,10.0,857.6,19.0,3.8,171.5,9.0,0.0,5,21,0,day,southeast,False,False,,,,,
D004,5,2,0.78,0.0,0.26,0.0,0.0,0,1.3,12.82,114.18,0.2961,55.6,22.5,28.4,1730,40.0,2.7,5.0,14.3,385.6,10.3,3.4,128.5,8.3,0.0,3,21,0,day,southeast,False,False,0.4800000000000001,0.4299999999999997,0.0,28.0,0.009899999999999964
D004,6,2,0.0,0.0,0.0,1.07,0.0,0,1.07,13.37,28.85,0.3089,24.7,13.6,53.8,696,12.0,1.0,4.3,5.8,93.4,2.9,2.9,93.4,5.0,0.0,1,21,0,day,southeast,False,False,-1.7899999999999998,-0.02000000000000135,-0.10000000000000009,-379.0,-0.0005000000000000004
D004,7,2,0.68,0.34,0.26,0.09,0.09,3,2.13,12.65,342.83,0.2922,42.7,18.3,34.6,1367,20.9,5.1,6.2,11.4,1173.3,27.2,3.9,167.6,8.4,0.0,7,21,0,day,southeast,False,False,0.2799999999999998,0.25,0.5,-358.0,0.005800000000000027
D004,8,2,0.54,0.36,0.27,0.09,0.36,2,2.62,12.33,315.45,0.2848,36.8,15.3,37.8,1197,24.9,4.6,6.3,9.9,1107.7,24.6,3.5,158.2,7.4,0.0,7,21,0,day,southeast,False,False,-0.17999999999999972,0.2599999999999998,-0.2999999999999998,-6.0,0.006099999999999994
D004,9,2,0.54,0.0,0.33,0.33,0.0,2,2.17,12.82,272.3,0.296,55.4,20.4,37.2,1005,14.3,3.8,5.6,8.4,919.8,18.5,3.1,153.3,7.3,0.0,6,21,0,day,southeast,False,False,0.8699999999999999,0.0,-0.2999999999999998,-725.0,-9.999999999998899e-05
D004,10,3,0.2,0.2,0.2,0.1,0.1,1,1.33,11.4,257.77,0.2632,35.6,16.5,35.9,1391,27.3,4.0,6.0,11.5,979.2,22.9,3.8,163.2,9.0,0.0,6,21,0,day,southeast,False,False,0.26,-1.9699999999999989,0.8999999999999999,695.0,-0.04570000000000002
D004,11,3,0.98,0.14,0.0,0.14,0.28,4,2.39,11.55,189.84,0.2669,40.8,17.4,30.4,1381,18.8,4.2,6.2,11.5,711.3,16.8,3.4,142.3,8.0,0.0,5,21,0,day,southeast,False,False,0.26000000000000023,-1.0999999999999996,-0.5,14.0,-0.02529999999999999
D004,12,3,0.41,0.1,0.2,0.0,0.0,1,1.33,11.15,252.6,0.2575,33.3,14.7,38.5,1361,20.9,5.3,6.5,11.3,981.1,22.7,3.2,140.2,7.9,0.0,7,21,0,day,southeast,False,False,-1.29,-1.1799999999999997,-0.2999999999999998,164.0,-0.02729999999999999
D004,13,3,0.09,0.85,0.09,0.28,0.28,0,2.92,11.81,289.7,0.2729,35.2,15.2,40.6,1448,28.3,3.3,5.4,12.0,1061.6,23.9,3.4,151.7,8.6,0.0,7,21,0,day,southeast,False,False,0.75,-1.0099999999999998,0.2999999999999998,443.0,-0.02310000000000001
D004,14,4,0.35,0.58,0.12,0.7,0.0,3,2.44,11.2,222.5,0.2587,33.6,16.1,33.1,1177,19.6,3.6,5.9,9.8,860.1,19.3,3.9,172.0,8.2,0.0,5,21,0,day,southeast,False,False,1.1099999999999999,-0.20000000000000107,0.10000000000000009,-214.0,-0.004500000000000004
D004,15,4,0.59,0.49,0.0,0.39,0.1,0,2.35,10.51,247.63,0.2428,40.1,13.7,35.6,1338,24.0,4.8,6.2,11.1,1020.1,21.4,3.6,170.0,7.8,0.0,6,21,0,day,southeast,False,False,-0.040000000000000036,-1.040000000000001,0.20000000000000018,-43.0,-0.024100000000000038
D004,16,4,0.26,0.4,0.0,0.13,0.0,0,1.19,12.67,221.3,0.2928,51.0,20.4,34.4,1165,17.6,3.0,5.1,9.7,755.9,17.8,3.6,151.2,7.8,0.0,5,21,0,day,southeast,False,False,-0.14000000000000012,1.5199999999999996,0.3999999999999999,-196.0,0.0353
D004,17,4,0.18,0.26,0.0,0.09,0.26,1,1.32,11.97,313.51,0.2766,37.4,17.5,38.0,1574,37.4,3.9,5.9,13.0,1133.6,27.2,3.9,161.9,8.7,0.0,7,21,0,day,southeast,False,False,-1.5999999999999999,0.16000000000000014,0.5,126.0,0.0037000000000000366
D004,18,5,0.2,0.4,0.1,0.1,0.1,0,1.49,11.05,257.56,0.2551,29.8,12.8,42.5,1197,16.0,3.8,5.6,9.9,1009.5,21.5,4.3,201.9,9.0,0.0,5,21,0,day,southeast,False,False,-0.95,-0.14999999999999858,0.3999999999999999,20.0,-0.003599999999999992
D004,19,5,0.44,0.0,0.44,0.35,0.0,1,2.18,9.85,260.54,0.2275,34.6,16.8,30.7,1230,20.4,4.6,6.4,10.2,1145.1,23.1,4.6,229.0,9.6,0.0,5,21,0,day,southeast,False,False,-0.16999999999999993,-0.6600000000000001,0.9999999999999996,-108.0,-0.01529999999999998
D004,20,5,0.21,0.21,0.32,0.0,0.11,3,1.61,12.06,259.21,0.2785,40.5,18.2,33.8,1547,32.0,4.8,5.7,12.9,930.6,21.0,4.2,186.1,9.0,0.0,5,21,0,day,southeast,False,False,0.42000000000000015,-0.6099999999999994,0.6000000000000001,382.0,-0.01429999999999998
