trial,auc_cv,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
31,0.7543,376,9,0.014071979665535972,4,0.8245109676839473,0.8793478005761133,0.009871682516445468,4.307990570307611
32,0.7474,391,10,0.01501836268951065,4,0.8032846069562415,0.8815499778103941,0.001906915957522796,1.0517337025242364
33,0.7524,339,9,0.01660593195517435,2,0.7806030672347724,0.837085284954784,0.43487531205335284,8.917275449430813
34,0.7508,280,8,0.021452473647364585,5,0.8243951810913822,0.9264190084724198,0.003873695939616182,0.29491018315983036
35,0.7586,438,10,0.012674145140220625,2,0.861515843261255,0.8634200468127864,0.0712859063772164,2.277023332422428
36,0.7422,443,10,0.013096482051086364,1,0.904327445008051,0.8597133703624712,0.09541771902151706,0.0390817111843901
37,0.7526,481,10,0.010131243486682125,2,0.8701712596798638,0.9108544418944364,2.817470112022758,0.004347880615757342
38,0.7364,500,10,0.02245679460589031,2,0.9256904756884897,0.8548477612747454,6.941521016908674,1.6082890533832312
39,0.7396,438,9,0.06818520275643546,3,0.8010734522031286,0.609837146499777,0.9257763304768193,0.0004638209131050386
40,0.7425,179,10,0.11187784340562518,1,0.6646099545259365,0.9680869735830141,0.0014346878696551173,0.3115164294403041
41,0.7541,384,9,0.01302290140871445,4,0.8608310568953345,0.8753499104976834,0.008164406593192126,2.173025618158544
42,0.7522,384,8,0.012597467931426545,6,0.8170075173831516,0.9347498371998789,0.04469756243642371,3.2067241141772476
43,0.7538,442,9,0.016430506361075414,3,0.7667757604788439,0.8925919019333036,0.25203280121544314,0.9491138694581326
44,0.744,410,7,0.013381147753430956,5,0.7153985442481534,0.8409935473201477,0.00740980262673133,0.12519947836265688
45,0.7589,338,10,0.018754127799164966,4,0.8917496938199894,0.8700267392473641,1.8225798490520163e-05,6.292693887711775
46,0.7523,331,10,0.01806081770132047,7,0.890808463220755,0.8002545592740309,1.0489335219968045e-05,0.4820073350934489
47,0.7428,253,10,0.026516635157032526,3,0.9354934374225142,0.8634032522142897,1.7282136829861002e-06,0.06211946564986876
48,0.7232,302,10,0.28638370629357934,6,0.9218262618868944,0.9082037788119627,9.252112698542714e-07,0.0011615180221266953
49,0.7499,272,10,0.029203774158913957,5,0.8844746740476458,0.8212871223128444,4.427658850905062e-05,0.010273050514933038
