incident_id,driver_id,trip_id,date,type,severity,fault,claim_amount,days_lost
INC119,D224,T221603,2024-02-24,near_miss,minor,other,0,0
INC120,D224,T222233,2024-06-06,injury,moderate,other,0,18
INC121,D225,T222829,2024-03-11,near_miss,minor,other,0,0
INC122,D225,T222588,2024-01-30,collision,minor,driver,5621,0
INC123,D228,T225873,2024-01-15,near_miss,minor,other,0,0
INC124,D230,T228381,2024-03-29,property_damage,moderate,driver,304,0
INC125,D235,T233950,2024-04-15,collision,moderate,driver,6860,0
INC126,D239,T238015,2024-03-04,near_miss,minor,driver,0,0
INC127,D244,T243358,2024-04-07,near_miss,minor,driver,0,0
INC128,D246,T245475,2024-04-28,property_damage,moderate,driver,179,0
INC129,D247,T246865,2024-06-29,collision,minor,driver,7716,0
INC130,D248,T247241,2024-03-15,property_damage,minor,unknown,364,0
INC131,D249,T247423,2024-01-27,injury,severe,driver,0,1
INC132,D249,T247737,2024-03-25,property_damage,minor,other,336,0
INC133,D251,T249067,2024-04-12,collision,minor,driver,1534,0
INC134,D253,T250617,2024-03-16,injury,moderate,unknown,0,2
INC135,D256,T254360,2024-05-16,near_miss,minor,driver,0,0
INC136,D257,T255004,2024-03-06,collision,minor,other,1197,0
INC137,D258,T256540,2024-05-14,collision,minor,other,1045,0
INC138,D258,T256548,2024-05-15,near_miss,moderate,other,0,0
INC139,D259,T257555,2024-05-02,collision,severe,unknown,3933,0
INC140,D260,T258372,2024-04-03,near_miss,severe,driver,0,0
INC141,D262,T260081,2024-01-23,near_miss,moderate,other,0,0
INC142,D262,T260070,2024-01-22,near_miss,moderate,unknown,0,0
INC143,D262,T260100,2024-01-31,property_damage,severe,driver,382,0
INC144,D264,T262537,2024-04-01,near_miss,minor,driver,0,0
INC145,D265,T263823,2024-05-10,near_miss,minor,unknown,0,0
INC146,D269,T268083,2024-05-10,collision,minor,other,7430,0
INC147,D271,T269829,2024-02-13,injury,moderate,driver,0,19
INC148,D271,T269600,2024-01-02,property_damage,moderate,driver,476,0
INC149,D272,T270705,2024-01-17,property_damage,moderate,driver,935,0
INC150,D273,T272727,2024-06-20,property_damage,minor,driver,706,0
INC151,D274,T273047,2024-02-17,collision,moderate,driver,4370,0
INC152,D275,T274798,2024-06-18,property_damage,minor,driver,3811,0
INC153,D285,T283937,2024-01-01,collision,minor,other,2689,0
INC154,D286,T285475,2024-03-01,injury,minor,driver,0,7
INC155,D292,T292244,2024-05-26,collision,minor,other,5031,0
INC156,D299,T299430,2024-03-07,property_damage,minor,other,1215,0
INC157,D299,T299801,2024-04-30,property_damage,severe,other,543,0
INC158,D299,T299680,2024-04-13,collision,severe,driver,2257,0
INC159,D301,T301630,2024-04-22,property_damage,minor,other,821,0
INC160,D301,T301470,2024-03-24,collision,moderate,driver,892,0
INC161,D301,T301577,2024-04-15,property_damage,minor,other,354,0
INC162,D302,T302810,2024-05-13,near_miss,severe,unknown,0,0
INC163,D304,T304316,2024-05-08,near_miss,moderate,other,0,0
INC164,D304,T304262,2024-04-30,injury,minor,driver,0,4
INC165,D305,T305043,2024-03-04,near_miss,moderate,other,0,0
INC166,D305,T305270,2024-04-14,injury,minor,driver,0,15
INC167,D305,T305411,2024-05-08,near_miss,minor,other,0,0
INC168,D308,T308435,2024-03-17,property_damage,severe,driver,460,0
INC169,D311,T312273,2024-06-27,property_damage,minor,other,157,0
INC170,D314,T314836,2024-02-27,injury,minor,driver,0,2
INC171,D314,T314605,2024-01-19,injury,minor,driver,0,10
INC172,D314,T315495,2024-06-22,collision,minor,driver,3159,0
INC173,D314,T314926,2024-03-13,near_miss,minor,driver,0,0
INC174,D318,T319713,2024-05-29,collision,minor,driver,2014,0
INC175,D318,T319319,2024-03-23,injury,moderate,other,0,17
INC176,D320,T321716,2024-04-20,near_miss,minor,other,0,0
INC177,D321,T322495,2024-03-05,injury,minor,other,0,1
INC178,D321,T322611,2024-03-31,property_damage,minor,driver,431,0
INC179,D323,T324870,2024-03-30,collision,severe,other,1354,0
INC180,D327,T329142,2024-05-04,near_miss,minor,driver,0,0
INC181,D327,T329103,2024-04-27,near_miss,minor,driver,0,0
INC182,D328,T330337,2024-04-30,near_miss,moderate,driver,0,0
INC183,D335,T337948,2024-06-06,injury,moderate,driver,0,8
INC184,D336,T338420,2024-02-21,injury,minor,driver,0,16
INC185,D336,T338319,2024-02-07,near_miss,moderate,driver,0,0
INC186,D336,T338172,2024-01-11,collision,moderate,driver,2570,0
INC187,D337,T339162,2024-01-07,near_miss,minor,unknown,0,0
INC188,D338,T340125,2024-01-01,near_miss,minor,driver,0,0
INC189,D338,T340753,2024-04-15,near_miss,minor,driver,0,0
INC190,D341,T343570,2024-05-18,property_damage,moderate,other,363,0
INC191,D343,T345184,2024-02-23,injury,moderate,unknown,0,3
INC192,D345,T347370,2024-04-18,property_damage,severe,unknown,553,0
INC193,D346,T348517,2024-04-20,property_damage,minor,driver,2089,0
INC194,D348,T350405,2024-04-12,collision,minor,unknown,1556,0
INC195,D349,T351228,2024-02-22,collision,minor,driver,2208,0
INC196,D350,T352080,2024-01-18,near_miss,minor,driver,0,0
INC197,D350,T352073,2024-01-17,collision,moderate,unknown,5929,0
INC198,D351,T352745,2024-02-19,near_miss,minor,other,0,0
INC199,D352,T354387,2024-05-23,injury,minor,other,0,5
INC200,D353,T354937,2024-02-22,injury,minor,driver,0,2
INC201,D355,T357388,2024-04-28,injury,minor,driver,0,13
INC202,D356,T357909,2024-02-16,collision,minor,driver,4261,0
INC203,D359,T361605,2024-05-15,near_miss,minor,driver,0,0
INC204,D359,T361319,2024-04-01,near_miss,minor,driver,0,0
INC205,D360,T362192,2024-03-27,collision,minor,other,3357,0
INC206,D367,T369555,2024-06-08,property_damage,severe,driver,579,0
INC207,D372,T374826,2024-05-15,near_miss,moderate,other,0,0
INC208,D377,T379631,2024-04-30,collision,minor,other,7146,0
INC209,D377,T379031,2024-02-02,property_damage,minor,driver,503,0
INC210,D378,T380652,2024-04-22,near_miss,minor,driver,0,0
INC211,D382,T385284,2024-06-20,collision,minor,driver,2165,0
INC212,D383,T385402,2024-01-05,injury,moderate,other,0,4
INC213,D383,T386049,2024-04-18,property_damage,minor,driver,639,0
INC214,D386,T389272,2024-04-15,near_miss,minor,driver,0,0
INC215,D387,T390197,2024-03-27,property_damage,minor,unknown,492,0
INC216,D390,T392948,2024-04-16,near_miss,severe,unknown,0,0
INC217,D390,T393179,2024-06-01,property_damage,minor,other,881,0
INC218,D390,T392871,2024-03-31,property_damage,minor,driver,711,0
INC219,D390,T392510,2024-01-30,property_damage,moderate,other,460,0
INC220,D390,T392723,2024-03-02,near_miss,minor,unknown,0,0
INC221,D390,T393304,2024-06-23,near_miss,moderate,driver,0,0
INC222,D392,T394692,2024-03-02,property_damage,minor,other,466,0
INC223,D392,T395381,2024-06-27,property_damage,minor,unknown,348,0
INC224,D394,T397423,2024-06-04,near_miss,moderate,other,0,0
INC225,D394,T396979,2024-03-24,collision,minor,other,259,0
INC226,D395,T397837,2024-02-09,property_damage,minor,unknown,1086,0
INC227,D396,T399459,2024-05-12,collision,moderate,driver,3420,0
INC228,D397,T400734,2024-05-23,near_miss,moderate,other,0,0
INC229,D397,T400219,2024-03-03,injury,minor,other,0,15
INC230,D398,T401581,2024-04-17,near_miss,moderate,driver,0,0
INC231,D398,T401017,2024-01-10,collision,moderate,unknown,4256,0
INC232,D399,T402651,2024-06-27,property_damage,minor,unknown,972,0
INC233,D400,T403533,2024-05-30,collision,minor,driver,2593,0
INC234,D401,T404423,2024-05-18,injury,moderate,driver,0,2
INC235,D402,T405104,2024-03-08,property_damage,minor,driver,412,0
INC236,D407,T410644,2024-04-15,property_damage,moderate,unknown,779,0
INC237,D414,T416920,2024-01-04,property_damage,minor,driver,637,0
INC238,D417,T421152,2024-06-15,near_miss,moderate,driver,0,0
INC239,D417,T420273,2024-01-03,collision,moderate,driver,8406,0
INC240,D417,T420693,2024-03-16,injury,moderate,driver,0,6
INC241,D417,T420787,2024-04-01,property_damage,severe,driver,261,0
INC242,D419,T422570,2024-01-19,property_damage,minor,driver,912,0
INC243,D422,T426761,2024-06-21,near_miss,minor,other,0,0
INC244,D425,T429123,2024-01-19,collision,minor,driver,1395,0
INC245,D426,T431064,2024-05-17,near_miss,minor,driver,0,0
INC246,D427,T431615,2024-02-14,near_miss,moderate,other,0,0
INC247,D427,T432163,2024-05-27,collision,moderate,driver,2356,0
INC248,D430,T435368,2024-05-30,collision,moderate,other,4792,0
INC249,D430,T434970,2024-03-10,collision,moderate,driver,1197,0
INC250,D432,T437070,2024-04-07,injury,minor,unknown,0,6
INC251,D434,T438761,2024-03-04,near_miss,moderate,unknown,0,0
INC252,D434,T438696,2024-02-23,property_damage,minor,other,385,0
INC253,D438,T442661,2024-03-19,property_damage,minor,driver,162,0
INC254,D443,T448050,2024-02-28,near_miss,minor,other,0,0
INC255,D443,T447939,2024-02-11,near_miss,moderate,other,0,0
INC256,D445,T450294,2024-03-31,near_miss,minor,unknown,0,0
INC257,D446,T451362,2024-05-27,collision,minor,other,1417,0
INC258,D448,T453392,2024-04-24,near_miss,moderate,driver,0,0
INC259,D448,T453266,2024-04-01,injury,minor,unknown,0,4
INC260,D449,T454030,2024-02-08,near_miss,moderate,driver,0,0
INC261,D450,T455575,2024-04-09,near_miss,moderate,driver,0,0
INC262,D451,T456118,2024-01-13,collision,minor,other,1243,0
INC263,D451,T456583,2024-03-28,property_damage,severe,unknown,1114,0
INC264,D452,T457937,2024-04-30,near_miss,minor,driver,0,0
INC265,D454,T459729,2024-03-09,property_damage,minor,other,584,0
INC266,D455,T461131,2024-04-26,near_miss,minor,other,0,0
INC267,D455,T461122,2024-04-25,near_miss,severe,driver,0,0
INC268,D458,T463813,2024-01-09,property_damage,minor,driver,263,0
INC269,D459,T465122,2024-03-08,near_miss,moderate,driver,0,0
INC270,D459,T465441,2024-05-03,near_miss,minor,unknown,0,0
INC271,D460,T466076,2024-03-01,injury,moderate,unknown,0,5
INC272,D460,T466518,2024-05-11,near_miss,severe,unknown,0,0
INC273,D462,T468405,2024-04-13,near_miss,minor,other,0,0
INC274,D462,T468732,2024-05-28,near_miss,minor,unknown,0,0
INC275,D466,T471852,2024-04-19,property_damage,moderate,driver,324,0
INC276,D467,T473298,2024-06-16,collision,minor,unknown,1580,0
INC277,D473,T479327,2024-06-17,near_miss,moderate,other,0,0
INC278,D473,T479107,2024-05-11,collision,moderate,other,1940,0
INC279,D477,T482718,2024-02-05,property_damage,minor,other,793,0
INC280,D477,T483307,2024-05-04,near_miss,minor,driver,0,0
INC281,D479,T485256,2024-05-19,near_miss,minor,other,0,0
INC282,D484,T489805,2024-01-28,injury,moderate,unknown,0,2
INC283,D486,T492750,2024-06-03,near_miss,minor,driver,0,0
INC284,D486,T491860,2024-01-12,property_damage,moderate,other,281,0
INC285,D486,T491985,2024-01-31,near_miss,moderate,other,0,0
INC286,D486,T491848,2024-01-11,near_miss,minor,other,0,0
INC287,D487,T493747,2024-06-09,injury,minor,unknown,0,29
INC288,D493,T499165,2024-06-02,near_miss,moderate,other,0,0
INC289,D493,T499203,2024-06-05,collision,moderate,driver,1251,0
INC290,D494,T500353,2024-06-07,property_damage,moderate,driver,641,0
INC291,D496,T501791,2024-04-02,collision,minor,driver,3698,0
INC292,D496,T502033,2024-05-16,near_miss,moderate,driver,0,0
INC293,D498,T503982,2024-05-13,property_damage,minor,other,790,0
INC294,D499,T504888,2024-04-25,injury,minor,other,0,4
INC295,D502,T507810,2024-04-19,collision,minor,other,16277,0
INC296,D504,T509120,2024-01-09,near_miss,minor,unknown,0,0
INC297,D505,T510151,2024-01-02,property_damage,minor,unknown,599,0
INC298,D507,T512630,2024-02-06,near_miss,moderate,driver,0,0
INC299,D507,T512948,2024-03-24,property_damage,minor,driver,246,0
INC300,D507,T512663,2024-02-10,injury,moderate,driver,0,2
INC301,D515,T520761,2024-03-14,injury,moderate,other,0,4
INC302,D517,T522962,2024-03-09,property_damage,minor,other,275,0
INC303,D517,T523418,2024-05-22,near_miss,minor,other,0,0
INC304,D518,T523865,2024-02-11,near_miss,minor,unknown,0,0
INC305,D520,T526093,2024-05-27,property_damage,minor,driver,2032,0
INC306,D522,T527642,2024-01-26,injury,minor,other,0,3
INC307,D525,T531504,2024-04-27,collision,moderate,driver,3365,0
INC308,D526,T531976,2024-01-14,near_miss,moderate,unknown,0,0
INC309,D527,T533280,2024-02-25,near_miss,minor,unknown,0,0
INC310,D530,T536827,2024-06-20,injury,minor,unknown,0,9
INC311,D534,T540739,2024-06-30,collision,moderate,other,14940,0
INC312,D535,T541525,2024-05-14,near_miss,moderate,driver,0,0
INC313,D536,T542277,2024-04-13,property_damage,moderate,unknown,615,0
INC314,D538,T543911,2024-01-11,property_damage,minor,other,223,0
INC315,D538,T544023,2024-01-31,near_miss,minor,driver,0,0
INC316,D538,T544051,2024-02-04,near_miss,minor,unknown,0,0
INC317,D538,T544003,2024-01-29,near_miss,moderate,driver,0,0
INC318,D538,T544242,2024-03-08,injury,moderate,unknown,0,3
INC319,D540,T545356,2024-03-17,injury,moderate,driver,0,3
INC320,D541,T546415,2024-04-01,injury,minor,unknown,0,1
INC321,D541,T546413,2024-04-01,property_damage,minor,driver,185,0
INC322,D541,T546313,2024-03-09,near_miss,severe,unknown,0,0
INC323,D546,T552221,2024-06-20,near_miss,moderate,unknown,0,0
INC324,D551,T556151,2024-03-02,collision,minor,other,692,0
INC325,D552,T557390,2024-04-01,near_miss,severe,other,0,0
INC326,D553,T557475,2024-01-06,near_miss,severe,driver,0,0
INC327,D556,T560925,2024-04-25,near_miss,moderate,other,0,0
INC328,D559,T563579,2024-01-12,property_damage,severe,driver,267,0
INC329,D559,T563717,2024-02-03,property_damage,minor,other,2311,0
INC330,D561,T565723,2024-05-08,near_miss,minor,other,0,0
INC331,D563,T567685,2024-03-10,injury,minor,other,0,1
INC332,D566,T570861,2024-02-19,collision,moderate,other,3079,0
INC333,D569,T574102,2024-03-06,property_damage,minor,driver,318,0
INC334,D569,T574215,2024-03-30,near_miss,moderate,unknown,0,0
INC335,D569,T574258,2024-04-06,near_miss,minor,other,0,0
INC336,D570,T575319,2024-04-19,injury,minor,driver,0,9
INC337,D570,T574688,2024-01-11,near_miss,minor,other,0,0
INC338,D571,T576605,2024-05-17,near_miss,minor,unknown,0,0
INC339,D572,T577512,2024-04-25,property_damage,moderate,driver,1028,0
INC340,D573,T578849,2024-06-04,injury,minor,driver,0,5
INC341,D576,T581726,2024-04-16,collision,minor,driver,31552,0
INC342,D580,T585522,2024-01-16,collision,moderate,driver,1992,0
INC343,D585,T590217,2024-01-11,near_miss,moderate,other,0,0
INC344,D586,T591865,2024-03-26,property_damage,moderate,driver,473,0
INC345,D586,T591345,2024-01-11,near_miss,minor,other,0,0
INC346,D588,T593656,2024-02-14,near_miss,moderate,driver,0,0
INC347,D589,T594621,2024-02-07,near_miss,moderate,driver,0,0
INC348,D593,T599012,2024-03-04,property_damage,moderate,driver,570,0
INC349,D593,T599186,2024-03-30,property_damage,minor,driver,951,0
INC350,D594,T599815,2024-04-19,property_damage,moderate,driver,1822,0
INC351,D597,T602019,2024-01-14,injury,moderate,other,0,6
INC352,D597,T602225,2024-02-15,property_damage,moderate,driver,1370,0
INC353,D598,T603952,2024-06-12,collision,moderate,other,5239,0
INC354,D599,T604811,2024-05-09,collision,severe,driver,4028,0
INC355,D599,T605050,2024-06-12,property_damage,minor,other,714,0
