driver_id,week,anomaly_score,reason_1,reason_1_zscore,reason_2,reason_2_zscore,reason_3,reason_3_zscore
D082,11,-0.5417,daily_lifting_events,2.61,hard_accels_per_100km,2.23,hard_brakes_per_100km,1.76
D082,12,-0.5624,phone_use_per_100km,2.57,hard_brakes_per_100km,1.98,speeding_per_100km,1.92
D082,13,-0.5521,phone_use_per_100km,2.7,hard_brakes_per_100km,2.29,total_events_per_100km,2.26
D082,14,-0.5533,sharp_turns_per_100km,2.73,speeding_per_100km,2.69,hard_accels_per_100km,2.29
D082,15,-0.6057,sharp_turns_per_100km,3.81,speeding_per_100km,3.26,total_events_per_100km,2.9
D082,16,-0.5786,sharp_turns_per_100km,2.55,daily_lifting_events,2.38,hard_accels_per_100km,1.97
D088,13,-0.5372,idle_time_pct,4.01,fuel_per_100km,2.91,daily_hours,1.89
D088,17,-0.5568,idle_time_pct,6.81,fuel_per_100km,3.57,daily_hours,2.05
D090,2,-0.5568,speeding_per_100km,2.71,hard_brakes_per_100km,2.31,fuel_per_100km,1.94
D090,8,-0.5415,hard_accels_per_100km,2.29,speeding_per_100km,2.22,sharp_turns_per_100km,2.14
D090,16,-0.5682,speeding_per_100km,3.04,daily_floors,2.58,phone_use_per_100km,2.15
D090,24,-0.5462,daily_hours,2.14,daily_lifting_events,2.08,daily_steps,2.07
D094,9,-0.5714,speeding_per_100km,3.15,hard_accels_per_100km,2.86,fuel_per_100km,1.98
D104,1,-0.5391,phone_use_per_100km,3.46,sharp_turns_per_100km,2.51,speeding_per_100km,1.8
D104,6,-0.544,sharp_turns_per_100km,2.37,daily_hours,2.22,night_driving_pct,1.59
D104,18,-0.5763,speeding_per_100km,3.29,hard_brakes_per_100km,2.64,total_events_per_100km,2.44
D104,19,-0.6136,sharp_turns_per_100km,3.08,speeding_per_100km,2.8,hard_brakes_per_100km,2.3
D104,20,-0.6317,speeding_per_100km,4.37,hard_brakes_per_100km,4.16,total_events_per_100km,3.66
D104,21,-0.6119,hard_brakes_per_100km,4.12,sharp_turns_per_100km,4.07,total_events_per_100km,3.46
D104,22,-0.6292,hard_brakes_per_100km,5.16,total_events_per_100km,3.89,speeding_per_100km,3.61
D111,4,-0.5678,daily_steps,2.83,fuel_per_100km,2.74,daily_floors,2.63
D112,1,-0.5348,daily_lifting_events,2.22,daily_steps,1.77,speeding_per_100km,1.75
D112,2,-0.5522,daily_km,3.0,daily_hours,2.14,hard_accels_per_100km,2.07
D112,12,-0.541,hard_brakes_per_100km,2.22,hard_accels_per_100km,2.0,total_events_per_100km,1.82
D112,16,-0.544,speeding_per_100km,2.47,daily_km,2.33,daily_hours,2.14
D112,18,-0.5427,speeding_per_100km,2.57,daily_km,2.18,daily_hours,2.14
D114,11,-0.5373,daily_km,2.56,daily_hours,2.14,hard_accels_per_100km,2.09
D115,1,-0.5399,daily_hours,2.3,hard_accels_per_100km,2.13,daily_lifting_events,1.92
D115,3,-0.5597,speeding_per_100km,2.94,hard_brakes_per_100km,2.6,hard_accels_per_100km,2.6
D115,8,-0.5423,sharp_turns_per_100km,2.46,speeding_per_100km,2.16,total_events_per_100km,1.87
D115,14,-0.5378,phone_use_per_100km,4.34,night_driving_pct,1.59,hard_brakes_per_100km,1.58
D117,8,-0.5463,hard_accels_per_100km,2.62,hard_brakes_per_100km,2.42,total_events_per_100km,2.23
D117,10,-0.602,sharp_turns_per_100km,3.75,hard_accels_per_100km,3.45,total_events_per_100km,3.25
D117,11,-0.6122,hard_accels_per_100km,4.32,hard_brakes_per_100km,3.4,total_events_per_100km,3.17
D117,12,-0.6312,hard_accels_per_100km,4.29,total_events_per_100km,3.37,phone_use_per_100km,3.15
D119,5,-0.536,hard_accels_per_100km,2.52,sharp_turns_per_100km,2.38,total_events_per_100km,2.06
D119,7,-0.5473,speeding_per_100km,2.01,sharp_turns_per_100km,1.85,hard_brakes_per_100km,1.84
D119,9,-0.6174,hard_brakes_per_100km,3.21,hard_accels_per_100km,2.92,total_events_per_100km,2.63
D119,10,-0.5986,phone_use_per_100km,3.88,total_events_per_100km,2.74,hard_brakes_per_100km,2.69
D119,11,-0.5934,speeding_per_100km,3.46,hard_accels_per_100km,3.33,sharp_turns_per_100km,3.24
D119,12,-0.6536,speeding_per_100km,3.72,hard_accels_per_100km,3.65,total_events_per_100km,3.38
D119,13,-0.6647,hard_accels_per_100km,4.34,total_events_per_100km,3.86,phone_use_per_100km,3.72
D120,3,-0.5589,hard_accels_per_100km,3.0,hard_brakes_per_100km,2.41,speeding_per_100km,2.07
D120,6,-0.5476,hard_accels_per_100km,2.48,speeding_per_100km,2.27,daily_steps,1.6
D120,11,-0.5365,speeding_per_100km,2.25,daily_km,1.94,daily_steps,1.55
D120,26,-0.5378,speeding_per_100km,3.3,daily_hours,1.8,total_events_per_100km,1.64
D125,16,-0.5339,idle_time_pct,3.89,fuel_per_100km,2.55,daily_floors,1.61
D125,18,-0.5364,idle_time_pct,2.32,sharp_turns_per_100km,2.27,daily_lifting_events,1.92
D125,23,-0.5437,idle_time_pct,3.83,daily_lifting_events,2.63,fuel_per_100km,2.51
D132,1,-0.5367,phone_use_per_100km,2.86,speeding_per_100km,2.45,total_events_per_100km,1.88
D132,2,-0.5628,hard_brakes_per_100km,2.85,hard_accels_per_100km,2.73,phone_use_per_100km,2.7
D132,10,-0.6164,hard_accels_per_100km,3.1,daily_km,3.01,daily_hours,2.81
D132,14,-0.5737,daily_km,3.56,daily_hours,3.31,phone_use_per_100km,2.6
D132,15,-0.5357,hard_accels_per_100km,2.08,speeding_per_100km,1.85,daily_km,1.8
D132,17,-0.5514,hard_brakes_per_100km,2.72,phone_use_per_100km,2.62,total_events_per_100km,1.97
D132,19,-0.5558,speeding_per_100km,3.12,daily_km,2.22,total_events_per_100km,1.94
D132,20,-0.5756,daily_hours,2.97,daily_km,2.84,hard_accels_per_100km,1.94
D134,8,-0.5462,hard_brakes_per_100km,2.1,fuel_per_100km,2.07,phone_use_per_100km,1.92
D134,11,-0.5911,hard_accels_per_100km,3.79,fuel_per_100km,2.5,daily_lifting_events,2.38
D134,12,-0.5422,daily_steps,2.42,daily_floors,2.32,hard_accels_per_100km,1.78
D134,18,-0.566,daily_floors,2.99,phone_use_per_100km,2.28,daily_steps,2.21
D134,23,-0.5402,sharp_turns_per_100km,2.49,daily_floors,2.38,hard_brakes_per_100km,1.86
D135,18,-0.5681,daily_hours,2.47,daily_km,2.4,speeding_per_100km,1.87
D136,6,-0.5419,phone_use_per_100km,2.49,daily_floors,2.39,daily_lifting_events,1.77
D136,14,-0.5802,daily_steps,2.81,fuel_per_100km,2.49,daily_floors,2.44
D137,3,-0.5848,idle_time_pct,4.98,fuel_per_100km,4.34,daily_hours,2.56
D137,13,-0.5906,idle_time_pct,4.72,daily_floors,3.55,fuel_per_100km,3.32
D137,24,-0.5511,idle_time_pct,4.23,phone_use_per_100km,2.7,fuel_per_100km,1.66
D139,7,-0.5585,phone_use_per_100km,3.98,sharp_turns_per_100km,2.93,total_events_per_100km,2.0
D139,8,-0.5638,phone_use_per_100km,3.15,speeding_per_100km,3.04,total_events_per_100km,2.34
D139,9,-0.5623,hard_accels_per_100km,3.36,total_events_per_100km,2.66,hard_brakes_per_100km,2.45
D139,10,-0.5629,sharp_turns_per_100km,2.72,total_events_per_100km,2.35,hard_brakes_per_100km,2.34
D139,11,-0.5933,hard_brakes_per_100km,3.26,hard_accels_per_100km,2.93,total_events_per_100km,2.73
D143,20,-0.5382,sharp_turns_per_100km,2.48,idle_time_pct,2.26,fuel_per_100km,2.1
D143,25,-0.547,idle_time_pct,3.92,phone_use_per_100km,2.34,fuel_per_100km,2.23
D145,6,-0.5354,hard_accels_per_100km,2.93,speeding_per_100km,2.09,daily_lifting_events,1.83
D145,12,-0.5651,daily_km,2.39,hard_brakes_per_100km,2.33,speeding_per_100km,2.32
D145,13,-0.539,speeding_per_100km,2.31,daily_km,1.75,hard_brakes_per_100km,1.75
D145,19,-0.5596,daily_hours,2.97,daily_km,2.57,hard_accels_per_100km,2.09
D145,22,-0.536,phone_use_per_100km,2.96,daily_km,2.13,hard_accels_per_100km,2.06
D146,2,-0.5395,idle_time_pct,2.28,daily_floors,1.81,night_driving_pct,1.59
D146,4,-0.5598,idle_time_pct,4.7,fuel_per_100km,3.51,daily_steps,2.34
D146,18,-0.5418,daily_hours,2.39,daily_km,1.96,speeding_per_100km,1.85
D146,19,-0.5408,total_events_per_100km,2.13,sharp_turns_per_100km,2.09,daily_floors,1.87
D146,20,-0.599,speeding_per_100km,3.61,total_events_per_100km,2.56,phone_use_per_100km,2.08
D146,21,-0.6623,daily_lifting_events,4.43,phone_use_per_100km,3.59,speeding_per_100km,3.53
D150,1,-0.5435,phone_use_per_100km,2.86,hard_brakes_per_100km,2.42,hard_accels_per_100km,2.26
D150,7,-0.5362,speeding_per_100km,2.62,hard_brakes_per_100km,2.4,phone_use_per_100km,2.39
D150,13,-0.5575,hard_accels_per_100km,3.05,phone_use_per_100km,2.47,sharp_turns_per_100km,1.98
D150,15,-0.5906,phone_use_per_100km,3.12,sharp_turns_per_100km,2.84,daily_hours,2.05
D150,17,-0.5555,hard_accels_per_100km,2.75,speeding_per_100km,2.22,sharp_turns_per_100km,2.14
D150,18,-0.5676,speeding_per_100km,2.64,daily_floors,2.35,hard_accels_per_100km,2.2
D150,19,-0.5812,hard_accels_per_100km,3.73,daily_lifting_events,2.86,hard_brakes_per_100km,2.4
D150,20,-0.5349,speeding_per_100km,2.69,hard_accels_per_100km,2.19,hard_brakes_per_100km,1.72
D150,23,-0.5868,speeding_per_100km,3.36,sharp_turns_per_100km,2.58,total_events_per_100km,1.97
D151,25,-0.5373,daily_km,3.01,daily_hours,2.47,daily_floors,1.6
D152,12,-0.5477,daily_hours,3.31,daily_km,2.66,night_driving_pct,1.59
D152,14,-0.542,daily_km,2.1,hard_accels_per_100km,1.98,daily_steps,1.79
D152,19,-0.5591,hard_accels_per_100km,2.82,sharp_turns_per_100km,2.01,total_events_per_100km,1.85
D152,22,-0.6515,hard_accels_per_100km,5.1,hard_brakes_per_100km,3.66,total_events_per_100km,3.11
D152,23,-0.6457,sharp_turns_per_100km,3.8,hard_accels_per_100km,3.58,hard_brakes_per_100km,3.57
D152,24,-0.5919,hard_accels_per_100km,3.37,sharp_turns_per_100km,3.21,total_events_per_100km,2.7
D152,25,-0.6109,hard_accels_per_100km,4.0,sharp_turns_per_100km,3.2,total_events_per_100km,3.02
D152,26,-0.6002,hard_brakes_per_100km,3.0,sharp_turns_per_100km,2.89,total_events_per_100km,2.75
D156,21,-0.5533,sharp_turns_per_100km,3.21,hard_brakes_per_100km,2.76,total_events_per_100km,2.45
D156,22,-0.5823,sharp_turns_per_100km,2.91,speeding_per_100km,2.77,total_events_per_100km,2.51
D156,23,-0.6015,phone_use_per_100km,7.03,total_events_per_100km,3.33,hard_brakes_per_100km,3.28
D156,24,-0.5656,phone_use_per_100km,3.25,total_events_per_100km,2.36,speeding_per_100km,1.95
D157,6,-0.5474,idle_time_pct,2.72,daily_steps,2.64,daily_floors,2.52
D157,18,-0.6055,idle_time_pct,5.01,fuel_per_100km,3.26,daily_steps,2.98
D157,19,-0.5456,daily_lifting_events,2.47,daily_steps,2.35,sharp_turns_per_100km,2.22
D157,22,-0.537,idle_time_pct,2.81,phone_use_per_100km,2.47,fuel_per_100km,1.88
D159,19,-0.5413,idle_time_pct,2.95,daily_hours,2.39,sharp_turns_per_100km,2.28
D159,21,-0.5534,hard_brakes_per_100km,2.69,phone_use_per_100km,2.31,sharp_turns_per_100km,2.3
D159,24,-0.5918,phone_use_per_100km,4.45,sharp_turns_per_100km,3.19,total_events_per_100km,2.73
D160,20,-0.5458,daily_floors,3.36,daily_steps,2.7,daily_lifting_events,2.08
D161,4,-0.5446,hard_brakes_per_100km,2.62,sharp_turns_per_100km,2.02,hard_accels_per_100km,1.81
D161,5,-0.5507,hard_accels_per_100km,2.85,hard_brakes_per_100km,2.34,speeding_per_100km,2.13
D161,6,-0.5421,phone_use_per_100km,2.65,hard_accels_per_100km,2.23,daily_lifting_events,2.08
D161,7,-0.6056,hard_accels_per_100km,3.41,hard_brakes_per_100km,3.1,total_events_per_100km,2.95
D161,8,-0.6188,hard_accels_per_100km,3.58,total_events_per_100km,3.14,hard_brakes_per_100km,2.93
D161,9,-0.5809,hard_accels_per_100km,4.14,total_events_per_100km,2.53,hard_brakes_per_100km,2.52
D161,10,-0.6266,hard_brakes_per_100km,6.07,total_events_per_100km,3.79,sharp_turns_per_100km,3.77
D161,11,-0.6238,sharp_turns_per_100km,3.47,speeding_per_100km,3.26,phone_use_per_100km,2.83
D162,2,-0.5379,sharp_turns_per_100km,2.26,hard_accels_per_100km,2.0,daily_km,1.73
D162,14,-0.5392,phone_use_per_100km,3.07,sharp_turns_per_100km,2.34,hard_accels_per_100km,1.92
D162,24,-0.5455,phone_use_per_100km,3.8,hard_accels_per_100km,2.99,total_events_per_100km,1.74
D166,4,-0.5367,daily_lifting_events,2.71,hard_accels_per_100km,2.26,sharp_turns_per_100km,1.83
D166,6,-0.5579,phone_use_per_100km,4.74,fuel_per_100km,2.71,daily_lifting_events,1.83
D167,19,-0.5486,daily_hours,2.97,daily_lifting_events,1.85,idle_time_pct,1.84
D170,13,-0.5429,daily_lifting_events,2.86,speeding_per_100km,2.71,total_events_per_100km,1.84
D170,23,-0.5339,speeding_per_100km,2.59,phone_use_per_100km,2.23,hard_accels_per_100km,1.95
D174,16,-0.5756,idle_time_pct,2.96,daily_lifting_events,2.71,phone_use_per_100km,2.42
D176,1,-0.5419,daily_steps,2.54,daily_floors,2.07,hard_accels_per_100km,2.05
D176,8,-0.5537,phone_use_per_100km,3.51,daily_hours,1.89,fuel_per_100km,1.82
D176,15,-0.5601,hard_accels_per_100km,2.72,sharp_turns_per_100km,2.29,daily_steps,2.22
D178,7,-0.5549,sharp_turns_per_100km,3.16,daily_lifting_events,2.08,hard_accels_per_100km,1.96
D179,1,-0.5367,hard_accels_per_100km,2.53,speeding_per_100km,2.31,daily_lifting_events,1.92
D179,4,-0.569,fuel_per_100km,2.74,speeding_per_100km,2.66,hard_brakes_per_100km,2.24
D179,7,-0.5865,hard_accels_per_100km,3.29,hard_brakes_per_100km,3.22,total_events_per_100km,2.5
D179,9,-0.5672,hard_brakes_per_100km,3.04,hard_accels_per_100km,2.85,sharp_turns_per_100km,2.46
D179,10,-0.537,speeding_per_100km,2.51,total_events_per_100km,2.13,hard_accels_per_100km,2.03
D179,16,-0.5377,hard_brakes_per_100km,2.31,hard_accels_per_100km,2.07,total_events_per_100km,1.92
D179,17,-0.6007,daily_lifting_events,4.04,daily_floors,3.76,daily_steps,3.23
D181,2,-0.5401,idle_time_pct,3.4,fuel_per_100km,2.72,speeding_per_100km,1.52
D181,8,-0.538,daily_floors,2.5,idle_time_pct,2.14,daily_steps,2.05
D181,9,-0.5899,daily_floors,3.71,daily_steps,2.83,daily_lifting_events,2.47
D181,10,-0.5416,idle_time_pct,3.73,sharp_turns_per_100km,2.85,fuel_per_100km,2.73
D181,16,-0.6212,idle_time_pct,4.76,daily_hours,3.23,phone_use_per_100km,2.57
D182,7,-0.5365,phone_use_per_100km,3.12,daily_lifting_events,2.61,sharp_turns_per_100km,1.93
D182,14,-0.5838,phone_use_per_100km,5.7,speeding_per_100km,3.16,hard_brakes_per_100km,2.14
D184,15,-0.534,phone_use_per_100km,3.01,sharp_turns_per_100km,2.5,total_events_per_100km,2.1
D184,17,-0.5544,sharp_turns_per_100km,3.64,total_events_per_100km,2.13,daily_steps,1.68
D193,16,-0.5483,daily_lifting_events,2.08,daily_steps,2.03,phone_use_per_100km,2.02
D197,17,-0.5399,daily_km,2.61,daily_hours,2.3,hard_accels_per_100km,1.96
D199,4,-0.5644,phone_use_per_100km,2.94,hard_accels_per_100km,2.05,sharp_turns_per_100km,1.98
D199,23,-0.5508,sharp_turns_per_100km,2.5,phone_use_per_100km,2.05,daily_lifting_events,1.99
D201,4,-0.543,fuel_per_100km,2.05,daily_hours,1.72,daily_km,1.63
D201,9,-0.5685,sharp_turns_per_100km,3.5,daily_hours,2.56,fuel_per_100km,2.42
D201,12,-0.5358,daily_lifting_events,2.63,daily_floors,2.3,daily_steps,2.18
D207,3,-0.5374,phone_use_per_100km,2.75,idle_time_pct,2.58,fuel_per_100km,1.92
D213,20,-0.552,daily_km,3.25,hard_brakes_per_100km,2.54,daily_hours,2.14
D218,7,-0.5683,daily_steps,3.51,fuel_per_100km,3.33,idle_time_pct,3.16
