driver_id,week,safety_score
D007,1,16.8
D007,2,7.9
D007,3,38.8
D007,4,11.7
D007,5,13.3
D007,6,13.2
D007,7,12.1
D007,8,9.0
D007,9,23.6
D007,10,19.4
D007,11,11.6
D007,12,14.7
D007,13,11.6
D007,14,4.0
D007,15,27.5
D007,16,20.8
D007,17,27.5
D007,18,10.4
D007,19,14.9
D007,20,15.5
D007,21,38.1
D007,22,14.9
D007,23,9.6
D007,24,12.6
D007,25,49.8
D007,26,3.6
D008,1,7.3
D008,2,7.6
D008,3,11.4
D008,4,18.8
D008,5,25.1
D008,6,15.8
D008,7,18.7
D008,8,18.3
D008,9,3.9
D008,10,24.9
D008,11,12.3
D008,12,15.7
D008,13,17.2
D008,14,22.2
D008,15,18.3
D008,16,6.7
D008,17,17.0
D008,18,20.9
D008,19,14.8
D008,20,16.0
D008,21,14.7
D008,22,20.0
D008,23,16.5
D008,24,12.9
D008,25,2.0
D008,26,11.4
D009,1,51.3
D009,3,54.1
D009,4,51.6
D009,5,55.4
D009,6,45.9
D009,7,55.9
D009,8,60.1
D009,9,39.1
D009,10,48.9
D009,11,52.8
D009,12,55.1
D009,13,36.9
D009,14,61.4
D009,15,34.6
D009,16,27.3
D009,17,43.5
D009,18,47.7
D009,19,33.0
D009,20,33.3
D009,21,46.2
D009,22,37.1
D009,23,39.3
D009,24,47.8
D009,25,33.3
D009,26,44.8
D010,1,62.8
D010,2,58.7
D010,3,58.6
D010,4,61.8
D010,5,64.1
D010,6,64.3
D010,7,58.2
D010,8,68.9
D010,9,50.8
D010,10,59.9
D010,11,55.8
D010,12,68.0
D010,13,62.6
D010,14,71.9
D010,15,61.0
D010,16,59.7
D010,17,58.0
D010,18,63.3
D010,19,50.4
D010,20,58.8
D010,21,63.0
D010,22,52.5
D010,23,64.2
D010,24,57.0
D010,25,46.0
D010,26,63.2
D011,1,60.1
D011,2,60.7
D011,3,52.2
D011,4,48.7
D011,5,29.7
D011,6,41.5
D011,7,63.7
D011,8,51.1
D011,9,40.6
D011,10,61.7
D011,11,39.5
D011,12,45.0
D011,13,37.9
D011,14,44.3
D011,15,37.9
D011,16,35.6
D011,17,38.4
D011,18,62.6
D011,19,36.3
D011,20,45.0
D011,21,44.6
D011,22,51.9
D011,23,29.2
D011,24,40.6
D011,25,32.0
D011,26,33.9
D012,1,91.0
D012,2,86.2
D012,3,82.2
D012,4,96.3
D012,5,80.7
D012,6,97.7
D012,7,88.0
D012,8,73.2
D012,9,80.6
D012,10,96.3
D012,11,90.7
D012,12,81.4
D012,13,78.1
D012,14,88.2
D012,15,89.5
D012,16,90.7
D012,17,85.6
D012,18,94.3
D012,19,86.1
D012,20,76.4
D012,21,87.0
D012,22,95.9
D012,23,78.0
D012,24,94.1
D012,25,95.3
D012,26,95.5
D013,1,76.3
D013,2,71.2
D013,3,65.3
D013,4,58.5
D013,5,59.8
D013,6,70.8
D013,7,61.8
D013,8,81.4
D013,9,77.4
D013,10,70.4
D013,11,72.9
D013,12,67.1
D013,13,56.0
D013,14,61.4
D013,15,55.3
D013,16,68.0
D013,17,63.8
D013,18,67.5
D013,19,77.2
D013,20,58.4
D013,21,69.5
D013,22,67.9
D013,23,70.9
D013,24,52.0
D013,25,62.9
D013,26,66.7
D014,1,96.3
D014,2,91.5
D014,3,89.5
D014,4,83.3
D014,5,85.9
D014,6,90.8
D014,7,90.5
D014,8,96.1
D014,9,90.0
D014,10,84.2
D014,11,93.6
D014,12,99.0
D014,13,84.6
D014,14,84.0
D014,15,91.7
D014,16,89.3
D014,17,79.0
D014,18,88.1
D014,19,96.8
D014,20,92.2
D014,21,89.8
D014,22,83.6
D014,23,89.8
D014,24,78.7
D014,25,88.3
D014,26,87.5
D015,1,12.2
D015,2,11.7
D015,3,13.5
D015,4,16.5
D015,5,17.0
D015,6,8.5
D015,8,20.9
D015,9,30.8
D015,10,9.5
D015,11,37.6
D015,12,9.2
D015,13,15.3
D015,14,10.6
D015,15,5.2
D015,16,13.8
D015,17,5.3
D015,18,15.9
D015,19,14.0
D015,20,10.4
D015,21,27.9
D015,22,27.0
D015,23,10.4
D015,24,2.1
D015,25,8.9
D015,26,11.1
D016,1,69.3
D016,2,62.8
D016,3,53.9
D016,4,63.9
D016,5,64.7
D016,6,52.3
D016,7,66.5
D016,8,74.9
D016,9,59.5
D016,10,64.6
D016,11,62.0
D016,12,55.0
D016,13,70.8
D016,14,60.0
D016,15,66.4
D016,16,63.0
D016,17,75.5
D016,18,54.9
D016,19,78.6
D016,20,56.5
D016,21,73.5
D016,22,56.8
D016,23,73.4
D016,24,59.4
D016,25,72.2
D016,26,70.1
D017,1,60.4
D017,2,58.9
D017,3,57.5
D017,4,62.2
D017,5,67.9
D017,6,61.9
D017,7,60.9
D017,8,54.8
D017,9,70.5
D017,10,60.1
D017,11,54.0
D017,12,69.7
D017,13,65.3
D017,14,59.6
D017,15,56.0
D017,16,75.5
D017,17,61.7
D017,18,61.5
D017,19,58.3
D017,20,58.2
D017,21,64.2
D017,22,55.1
D017,23,75.5
D017,24,50.9
D017,25,63.5
D017,26,64.8
D018,1,72.3
D018,2,65.3
D018,3,59.2
D018,4,68.9
D018,5,68.4
D018,6,59.8
D018,7,72.2
D018,8,87.7
D018,9,91.3
D018,10,65.5
D018,11,64.5
D018,12,57.7
D018,13,68.1
D018,14,73.6
D018,15,74.6
D018,16,76.2
D018,17,64.9
D018,18,54.1
D018,19,65.3
D018,20,54.5
D018,21,72.1
D018,22,63.2
D018,23,64.8
D018,24,63.3
D018,25,71.7
D018,26,64.1
D019,1,81.5
D019,2,78.6
D019,3,84.0
D019,4,88.1
D019,5,82.4
D019,6,98.2
D019,7,89.8
D019,8,85.1
D019,9,81.9
D019,10,85.2
D019,11,91.0
D019,12,87.4
D019,13,83.3
D019,14,89.9
D019,15,86.0
D019,16,79.2
D019,17,77.0
D019,18,81.3
D019,19,74.4
D019,20,85.1
D019,21,90.4
D019,22,75.9
D019,23,97.6
D019,24,88.8
D019,25,81.1
D019,26,88.0
D020,1,63.2
D020,2,58.9
D020,3,50.9
D020,4,64.4
D020,5,45.0
D020,6,52.4
D020,7,48.1
D020,8,44.8
D020,9,53.7
D020,10,44.2
D020,11,41.6
D021,1,17.1
D021,2,6.2
D021,3,18.7
D021,4,33.4
D021,5,24.8
D021,6,24.3
D021,7,6.8
D021,8,34.5
D021,9,13.7
D021,10,25.0
D021,11,23.9
D021,12,18.1
D021,13,17.1
D021,14,21.5
D021,15,9.1
D021,16,15.9
D021,17,28.2
D021,18,22.4
D021,19,36.5
D021,20,19.7
D021,21,8.8
D021,22,28.3
D021,23,18.3
D021,24,39.9
D021,25,23.0
D021,26,25.3
D022,1,78.7
D022,2,96.6
D022,3,85.6
D022,4,89.2
D022,5,78.3
D022,6,81.6
D022,7,79.6
D022,8,77.2
D022,9,78.6
D022,10,86.6
D022,11,84.7
D022,12,91.4
D022,13,82.0
D022,14,81.0
D022,15,90.9
D022,16,76.3
D022,17,85.1
D022,18,86.1
D022,19,77.2
D022,20,87.4
D022,21,77.2
D022,22,84.9
D022,23,77.3
D022,24,81.4
D022,25,90.6
D022,26,89.7
D023,1,23.5
D023,2,16.6
D023,3,13.4
D023,4,6.8
D023,5,12.2
D023,6,10.7
D023,7,10.0
D023,8,9.4
D023,9,7.2
D023,10,3.0
D023,11,14.1
D023,12,20.6
D023,13,1.5
D023,14,72.0
D023,15,28.3
D023,16,23.2
D023,17,29.2
D023,18,10.8
D023,19,13.4
D023,20,43.0
D023,21,28.4
D023,22,17.8
D023,23,18.5
D023,24,12.5
D023,25,3.3
D023,26,15.9
D024,1,66.4
D024,2,64.6
D024,3,62.0
D024,4,62.3
D024,5,64.2
D024,6,62.1
D024,7,62.8
D024,8,67.2
D024,9,61.1
D024,10,64.8
D024,11,69.4
D024,12,59.8
D024,13,66.2
D024,14,64.1
D024,15,67.3
D024,16,63.8
D024,17,62.5
D024,18,59.1
D024,19,61.8
D024,20,60.2
D024,21,66.7
D024,22,68.2
D024,23,61.3
D024,24,58.0
D024,25,66.4
D024,26,60.0
D025,1,86.2
D025,2,76.5
D025,3,77.8
D025,4,80.0
D025,5,86.4
D025,6,79.2
D025,7,79.0
D025,8,88.7
D025,9,86.9
D025,10,80.5
D025,11,74.3
D025,12,88.0
D025,13,77.3
D025,14,94.1
D025,15,80.0
D025,16,87.6
D025,17,80.0
D025,18,80.8
D025,19,90.0
D025,20,95.0
D025,21,76.8
D025,22,92.9
D025,23,85.7
D025,24,89.6
D025,25,95.8
D025,26,78.7
D026,1,63.0
D026,2,65.6
D026,3,51.9
D026,4,48.0
D026,5,64.6
D026,6,64.0
D026,7,65.2
D026,8,63.8
D026,9,55.9
D026,10,51.8
D026,11,63.7
D026,12,67.6
D026,13,57.0
D026,14,74.0
D026,15,66.2
D026,16,61.8
D026,17,61.2
D026,18,62.7
D026,19,66.3
D026,20,65.1
D026,21,64.7
D026,22,69.6
D026,23,57.9
D026,24,59.0
D026,25,54.7
D026,26,58.3
D027,1,60.5
D027,2,63.1
D027,3,63.9
D027,4,66.6
D027,5,63.4
D027,6,60.9
D027,7,63.9
D027,8,66.1
D027,9,63.3
D027,10,63.7
D027,11,62.0
D027,12,60.0
D027,13,56.5
D027,14,55.3
D027,15,59.6
D027,16,49.6
D027,17,64.7
D027,18,61.0
D027,19,60.2
D027,20,64.8
D027,21,68.7
D027,22,65.6
D027,23,69.5
D027,24,59.9
D027,25,54.3
D027,26,69.2
D028,1,55.3
D028,2,53.8
D028,3,44.7
D028,4,60.9
D028,5,45.5
D028,6,48.1
D028,7,46.1
D028,8,47.4
D028,9,42.7
D028,10,48.7
D028,11,51.2
D028,12,39.8
D028,13,50.3
D028,14,46.7
D028,15,51.7
D028,16,47.0
D028,17,28.7
D028,18,54.0
D028,19,49.4
D028,20,34.8
D028,21,54.2
D028,22,37.6
D028,23,33.4
D028,24,52.7
D028,25,47.8
D028,26,36.4
D029,1,74.5
D029,2,74.8
D029,3,56.9
D029,4,73.8
D029,5,69.5
D029,6,72.3
D029,7,67.3
D029,8,81.8
D029,9,68.2
D029,10,69.6
D029,11,77.1
D029,12,76.4
D029,13,65.7
D029,14,82.9
D029,15,71.5
D029,16,69.3
D029,17,55.1
D029,18,81.9
D029,19,70.7
D029,20,58.3
D029,21,73.2
D029,22,54.9
D029,23,68.1
D029,24,54.8
D029,25,54.8
D029,26,84.9
D030,1,13.0
D030,2,22.4
D030,3,9.2
D030,4,28.2
D030,5,10.9
D030,6,13.2
D030,7,15.4
D030,8,16.9
D030,9,14.1
D030,10,8.4
D030,11,17.4
D030,12,18.0
D030,13,6.1
D030,14,21.5
D030,15,16.5
D030,16,7.7
D030,17,28.2
D030,18,29.5
D030,19,25.6
D030,20,15.6
D030,21,10.0
D030,22,16.3
D030,23,12.5
D030,24,5.0
D030,25,20.7
D030,26,2.3
D031,1,20.5
D031,2,24.1
D031,3,22.1
D031,4,31.4
D031,5,36.4
D031,6,17.4
D031,7,26.2
D031,8,28.0
D031,9,40.7
D031,10,16.3
D031,11,26.7
D031,12,12.7
D031,13,35.3
D031,14,19.5
D031,15,27.4
D031,16,27.6
D031,17,28.4
D031,18,24.4
D031,19,37.5
D031,20,25.3
D031,21,9.7
D031,22,33.1
D031,23,33.5
D031,24,17.7
D031,25,17.4
D031,26,15.0
D032,1,68.8
D032,2,54.1
D032,3,56.9
D032,4,56.6
D032,5,61.9
D032,6,63.7
D032,7,69.1
D032,8,54.5
D032,9,85.5
D032,10,63.9
D032,11,62.6
D032,12,63.4
D032,13,80.2
D032,14,63.1
D032,15,72.5
D032,16,56.2
D032,17,59.4
D032,18,67.0
D032,19,68.1
D032,20,53.3
D032,21,62.0
D032,22,58.9
D032,23,62.9
D032,24,70.4
D032,25,66.3
D032,26,67.5
D033,1,64.8
D033,2,54.2
D033,3,54.1
D033,4,61.3
D033,5,61.3
D033,6,68.9
D033,7,62.3
D033,8,59.5
D033,9,66.2
D033,10,63.4
D033,11,59.6
D033,12,70.9
D033,13,65.0
D033,14,66.7
D033,15,61.7
D033,16,69.1
D033,17,61.1
D033,18,71.1
D033,19,62.2
D033,20,62.7
D033,21,85.0
D033,22,57.7
D033,23,54.4
D033,24,67.6
D033,25,65.2
D033,26,63.8
D034,1,87.2
D034,2,89.2
D034,3,81.3
D034,4,85.9
D034,5,88.7
D034,6,85.7
D034,7,85.5
D034,8,94.7
D034,9,87.4
D034,10,92.2
D034,11,90.5
D034,12,83.4
D034,13,79.2
D034,14,74.6
D034,15,96.3
D034,16,88.9
D034,17,89.9
D034,18,80.3
D034,19,81.8
D034,20,97.4
D034,21,100.0
D034,22,88.1
D034,23,95.3
D034,24,88.0
D034,25,87.3
D034,26,94.9
D035,1,77.2
D035,2,92.7
D035,3,73.3
D035,4,81.8
D035,5,91.0
D035,6,77.0
D035,7,84.1
D035,8,75.3
D035,9,87.9
D035,10,78.2
D035,11,75.7
D036,1,53.1
D036,2,56.1
D036,3,57.4
D036,4,47.7
D036,5,53.5
D036,6,43.3
D036,7,49.4
D036,8,54.4
D036,9,58.4
D036,10,43.1
D036,11,44.8
D036,12,52.7
D036,13,45.7
D036,14,39.8
D036,15,49.6
D036,16,45.2
D036,17,48.2
D036,18,48.9
D036,19,41.2
D036,20,51.5
D036,21,49.2
D036,22,35.7
D036,23,46.4
D036,24,38.9
D036,25,52.7
D036,26,30.2
D037,1,91.7
D037,2,87.8
D037,3,87.2
D037,4,91.1
D037,5,91.9
D037,6,85.7
D037,7,84.6
D037,8,88.6
D037,9,84.0
D037,10,86.3
D037,11,88.9
D037,12,95.1
D037,13,94.3
D037,14,85.6
D037,15,92.1
D037,16,87.7
D037,17,87.7
D037,18,95.6
D037,19,92.5
D037,20,82.4
D037,21,87.4
D037,22,84.3
D037,23,94.7
D037,24,93.2
D037,25,94.5
D037,26,97.4
D038,1,18.7
D038,2,18.8
D038,3,15.4
D038,4,15.0
D038,5,24.6
D038,6,18.7
D038,7,15.9
D038,8,20.9
D038,9,10.1
D038,10,16.2
D038,11,31.5
D038,12,31.5
D038,13,25.3
D038,14,15.9
D038,15,18.8
D038,16,36.7
D038,17,25.7
D038,18,24.6
D038,19,23.8
D038,20,9.6
D038,21,6.9
D038,22,32.5
D038,23,9.3
D038,24,35.6
D038,25,46.7
D038,26,29.9
D039,1,49.0
D039,2,60.8
D039,3,61.4
D039,4,42.0
D039,5,44.4
D039,6,29.0
D039,7,56.5
D039,8,47.1
D039,9,49.8
D039,10,35.0
D039,11,37.1
D039,12,51.0
D039,13,48.7
D039,14,38.1
D039,15,30.6
D039,16,31.3
D039,17,24.4
D039,18,31.2
D039,19,22.4
D039,20,37.1
D039,21,33.0
D039,22,32.9
D039,23,56.5
D039,24,31.8
D039,25,32.8
D039,26,28.9
D040,1,79.2
D040,2,76.4
D040,3,89.9
D040,4,94.1
D040,5,79.7
D040,6,96.9
D040,7,89.9
D040,8,91.7
D040,9,89.8
D040,10,77.3
D040,11,89.5
D040,12,83.0
D040,13,86.5
D040,14,82.3
D040,15,75.0
D040,16,86.7
D040,17,84.7
D040,18,90.3
D040,19,78.9
D040,20,74.9
D040,21,89.7
D040,22,89.8
D040,23,87.3
D040,24,74.1
D040,25,77.3
D040,26,89.7
D041,1,82.5
D041,2,92.1
D041,3,82.7
D041,4,82.4
D041,5,78.2
D041,6,85.7
D041,7,83.8
D041,8,78.9
D041,9,82.7
D041,10,67.6
D041,11,85.3
D041,12,81.2
D041,13,79.0
D041,14,76.8
D041,15,77.0
D041,16,84.6
D041,17,79.6
D041,18,93.4
D041,19,80.2
D041,20,81.6
D041,21,79.0
D041,22,79.0
D041,23,84.8
D041,24,79.8
D041,25,91.3
D041,26,85.2
D042,1,63.7
D042,2,84.0
D042,3,67.0
D042,4,70.4
D042,5,58.5
D042,6,74.6
D042,7,63.6
D042,8,69.8
D042,9,65.2
D042,10,66.1
D042,11,58.9
D042,12,64.7
D042,13,68.5
D042,14,51.4
D042,15,56.4
D042,16,61.1
D042,17,55.7
D042,18,55.0
D042,19,35.8
D043,1,60.3
D043,2,61.1
D043,3,53.6
D043,4,57.9
D043,5,54.5
D043,6,45.3
D043,7,41.3
D043,8,47.2
D043,9,42.4
D043,10,53.2
D043,11,65.1
D043,12,54.0
D043,13,47.7
D043,14,63.7
D043,15,42.9
D043,16,50.5
D043,17,60.4
D043,18,39.9
D043,19,40.0
D043,20,41.7
D043,21,37.7
D043,22,40.0
D043,23,47.9
D043,24,46.4
D043,25,35.2
D043,26,30.8
D044,1,82.0
D044,2,59.8
D044,3,58.2
D044,4,66.0
D044,5,81.7
D044,6,64.3
D044,7,81.3
D044,8,72.8
D044,9,61.1
D044,10,85.2
D044,11,68.1
D044,12,58.3
D044,13,63.0
D044,14,60.9
D044,15,82.2
D044,16,56.8
D044,17,69.3
D044,18,77.3
D044,19,67.8
D044,20,74.3
D044,21,79.1
D044,22,70.6
D044,23,68.5
D044,24,65.9
D044,25,63.7
D044,26,64.5
D045,1,28.6
D045,2,26.7
D045,3,35.0
D045,4,23.4
D045,5,26.7
D045,6,23.8
D045,7,8.2
D045,8,35.0
D045,9,22.2
D045,10,28.0
D045,11,30.9
D045,12,12.4
D045,13,13.0
D045,14,9.6
D045,15,33.4
D045,16,27.8
D045,17,26.4
D045,18,18.4
D045,19,35.3
D045,20,28.7
D045,21,24.4
D045,22,19.4
D045,23,23.9
D045,24,30.4
D045,25,28.8
D045,26,17.9
D046,1,21.1
D046,2,12.8
D046,3,36.9
D046,4,14.9
D046,5,9.4
D046,6,23.9
D046,7,17.9
D046,8,25.8
D046,9,8.8
D046,10,3.6
D046,11,7.5
D046,12,6.4
D046,13,4.2
D046,14,0.0
D046,15,15.5
D046,16,27.5
D046,17,13.9
D046,18,18.4
D046,19,16.2
D046,20,21.8
D046,21,30.5
D046,22,22.0
D046,23,15.6
D046,24,22.5
D046,25,18.0
D046,26,17.9
D047,1,66.2
D047,2,71.8
D047,3,65.9
D047,4,53.4
D047,5,80.5
D047,6,63.0
D047,7,59.9
D047,8,68.7
D047,9,66.9
D047,10,56.6
D047,11,71.7
D047,12,68.3
D047,13,65.5
D047,14,59.9
D047,15,65.4
D047,16,83.1
D047,17,67.8
D047,18,82.5
D047,19,73.6
D047,20,73.5
D047,21,68.6
D047,22,62.6
D047,23,67.9
D047,24,65.0
D047,25,62.1
D047,26,56.9
D048,1,82.9
D048,2,79.5
D048,3,80.2
D048,4,83.9
D048,5,81.0
D048,6,86.6
D048,7,82.6
D048,8,81.6
D048,9,92.6
D048,10,75.9
D048,11,89.1
D048,12,92.3
D048,13,83.0
D048,14,92.0
D048,15,79.0
D048,16,79.6
D048,17,78.5
D048,18,81.0
D048,19,78.8
D048,20,86.1
D048,21,79.9
D048,22,70.3
D048,23,73.0
D049,1,63.3
D049,2,66.1
D049,3,66.6
D049,4,73.5
D049,5,67.2
D049,6,73.9
D049,7,69.1
D049,8,66.4
D049,9,64.7
D049,10,63.4
D049,11,61.5
D049,12,57.9
D049,13,58.2
D049,14,76.1
D049,15,65.2
D049,16,70.6
D049,17,65.3
D049,18,66.8
D049,19,84.9
D049,20,74.6
D049,21,64.8
D049,22,59.9
D049,23,59.5
D049,24,67.5
D049,25,78.0
D049,26,63.3
D050,1,52.9
D050,2,39.6
D050,3,56.6
D050,4,54.0
D050,5,52.8
D050,6,44.2
D050,7,40.3
D050,8,49.7
D050,9,43.8
D050,10,57.4
D050,11,48.0
D050,12,50.4
D050,13,39.6
D050,14,50.2
D050,15,47.1
D050,16,44.6
D050,17,37.0
D050,18,41.0
D050,19,45.8
D050,20,40.2
D050,21,41.8
D050,22,43.1
D050,23,43.3
D050,24,39.5
D050,25,37.5
D050,26,35.7
D051,1,80.5
D051,2,77.3
D051,3,95.9
D051,4,73.3
D051,5,91.4
D051,6,94.4
D051,7,92.0
D051,8,94.5
D051,9,76.6
D051,10,84.8
D051,11,72.1
D051,12,84.9
D051,13,82.7
D051,14,88.4
D051,15,76.4
D051,16,85.5
D051,17,90.8
D051,18,86.4
D051,19,90.7
D051,20,80.0
D051,21,93.6
D051,22,87.1
D051,23,87.3
D051,24,89.4
D051,25,78.2
D051,26,93.8
D052,1,85.5
D052,2,77.9
D052,3,81.6
D052,4,94.0
D052,5,79.5
D052,6,91.5
D052,7,93.0
D052,8,75.9
D052,9,98.1
D052,10,94.7
D052,11,89.8
D052,12,84.1
D052,13,96.1
D052,14,94.9
D052,15,78.4
D052,16,79.0
D052,17,76.6
D052,18,97.8
D052,19,84.8
D052,20,77.6
D052,21,72.8
D052,22,76.3
D052,23,75.8
D052,24,88.0
D053,1,56.6
D053,2,80.8
D053,3,66.0
D053,4,59.7
D053,5,52.9
D053,6,54.5
D053,7,63.7
D053,8,58.4
D053,9,60.7
D053,10,60.0
D053,11,47.8
D053,12,45.9
D053,13,48.2
D053,14,55.8
D053,15,46.1
D053,16,62.1
D054,1,16.3
D054,2,29.8
D054,3,20.7
D054,4,35.4
D054,5,21.0
D054,6,35.8
D054,7,30.2
D054,8,16.4
D054,9,23.1
D054,10,19.9
D054,11,21.2
D054,12,10.3
D054,13,23.2
D054,14,17.3
D054,15,12.2
D054,16,20.1
D054,17,26.2
D054,18,25.8
D054,19,34.4
D054,20,31.1
D054,21,26.9
D054,22,17.3
D054,23,36.1
D054,24,34.7
D054,25,19.2
D054,26,18.0
D055,1,66.0
D055,2,82.6
D055,3,65.5
D055,4,66.6
D055,5,67.4
D055,6,65.6
D055,7,64.0
D055,8,69.1
D055,9,61.9
D055,10,58.5
D055,11,60.1
D055,12,54.3
D055,13,57.2
D055,14,44.4
D056,1,77.7
D056,2,81.7
D056,3,87.2
D056,4,84.6
D056,5,85.7
D056,6,86.9
D056,7,90.5
D056,8,90.9
D056,9,84.3
D056,10,83.9
D056,11,90.3
D056,12,96.3
D056,13,89.3
D056,14,95.9
D056,15,90.0
D056,16,81.0
D056,17,73.6
D056,18,87.5
D056,19,82.5
D056,20,83.5
D056,21,75.1
D056,22,80.7
D056,23,97.2
D056,24,77.3
D056,25,71.6
D056,26,88.0
D057,1,27.1
D057,2,32.1
D057,3,23.5
D057,4,22.6
D057,5,15.5
D057,6,22.6
D057,7,9.2
D057,8,35.0
D057,9,17.3
D057,10,24.0
D057,11,30.6
D057,12,30.0
D057,13,24.9
D057,14,11.6
D057,15,25.8
D057,16,30.1
D057,17,23.4
D057,18,43.8
D057,19,11.3
D057,20,33.7
D057,21,33.8
D057,22,13.3
D057,23,19.9
D057,24,33.0
D057,25,44.1
D057,26,12.8
D058,1,93.3
D058,2,94.2
D058,3,83.0
D058,4,80.7
D058,5,83.5
D058,6,80.9
D058,7,94.0
D058,8,90.7
D058,9,89.4
D058,10,82.1
D058,11,89.2
D058,12,87.9
D058,13,75.0
D058,14,91.7
D058,15,81.1
D058,16,84.9
D058,17,97.3
D058,18,72.0
D058,19,94.7
D058,20,82.8
D058,21,77.6
D058,22,73.5
D058,23,87.5
D058,24,89.5
D058,25,70.5
D058,26,91.8
D059,1,41.4
D059,2,42.0
D059,3,50.1
D059,4,44.9
D059,5,51.9
D059,6,44.0
D059,7,46.4
D059,8,39.8
D059,9,45.9
D059,10,43.5
D059,11,40.7
D059,12,36.4
D059,13,33.3
D059,14,42.0
D059,15,38.8
D059,16,32.8
D059,17,44.0
D059,18,43.9
D059,19,27.1
D059,20,19.0
D059,21,13.9
D059,22,9.1
D059,23,10.8
D059,24,4.0
D059,25,15.0
D059,26,28.0
D060,1,89.9
D060,2,84.2
D060,3,81.3
D060,4,92.0
D060,5,95.9
D060,6,76.8
D060,7,86.8
D060,8,98.4
D060,9,90.2
D060,10,96.6
D060,11,85.5
D060,12,78.3
D060,13,85.9
D060,14,77.5
D060,15,79.8
D060,16,77.8
D060,17,79.4
D060,18,89.4
D060,19,78.2
D060,20,91.0
D060,21,91.3
D060,22,76.6
D060,23,87.9
D060,24,92.8
D060,25,92.4
D060,26,76.0
D061,1,89.6
D061,2,91.8
D061,3,94.2
D061,4,89.4
D061,5,86.9
D061,6,98.3
D061,7,73.1
D061,8,86.0
D061,9,75.3
D061,10,79.1
D061,11,79.1
D061,12,80.5
D061,13,79.5
D061,14,89.8
D061,15,93.7
D061,16,88.3
D061,17,78.9
D061,18,83.2
D061,19,90.3
D061,20,88.8
D061,21,92.9
D061,22,83.3
D061,23,90.7
D061,24,88.2
D061,25,80.4
D061,26,85.0
D062,1,9.6
D062,2,43.2
D062,3,29.0
D062,4,23.8
D062,5,36.1
D062,6,23.8
D062,7,17.5
D062,8,12.5
D062,9,19.3
D062,10,12.0
D062,11,34.3
D062,12,32.5
D062,13,40.4
D062,14,24.5
D062,15,34.1
D062,16,2.8
D062,17,37.4
D062,18,15.8
D062,19,16.0
D062,20,14.2
D062,21,23.2
D062,22,34.8
D062,23,24.7
D062,24,17.7
D062,25,19.7
D062,26,28.2
D063,1,45.5
D063,2,47.3
D063,3,79.6
D063,4,55.6
D063,5,48.2
D063,6,48.9
D063,7,42.4
D063,8,45.7
D063,9,36.7
D063,10,17.3
D063,11,12.5
D063,12,27.1
D063,13,45.0
D063,14,19.0
D064,1,85.1
