driver_id,age,experience_years,hire_date,region,shift_preference,training_completed,monthly_salary,termination_date,termination_reason
D113,27,3,2020-08-19,northeast,night,"eco_driving,fatigue_awareness",4554,,
D114,36,1,2022-08-22,midwest,day,defensive_driving,4516,,
D115,25,0,2023-03-29,northeast,rotating,eco_driving,4921,,
D116,42,3,2020-11-06,midwest,rotating,"eco_driving,defensive_driving,fatigue_awareness",4503,2024-04-22,involuntary
D117,23,2,2021-12-16,southeast,day,defensive_driving,4503,,
D118,57,1,2022-08-21,midwest,rotating,none,4007,,
D119,47,5,2019-01-21,southeast,day,none,4623,2024-04-15,voluntary
D120,40,0,2023-09-26,southeast,day,"eco_driving,defensive_driving,fatigue_awareness",3179,,
D121,47,1,2022-02-07,southeast,day,none,4511,2024-04-18,involuntary
D122,41,2,2021-11-19,northeast,rotating,defensive_driving,4114,,
D123,51,1,2022-03-03,southeast,day,"eco_driving,defensive_driving,fatigue_awareness",4432,2024-04-29,involuntary
D124,27,4,2019-09-16,southeast,day,fatigue_awareness,3935,,
D125,38,11,2012-09-12,northeast,day,"eco_driving,defensive_driving",4260,,
D126,47,4,2019-10-05,southeast,day,defensive_driving,4636,,
D127,54,1,2022-01-19,midwest,rotating,defensive_driving,3970,,
D128,43,5,2018-12-16,midwest,day,fatigue_awareness,3573,,
D129,37,0,2023-03-22,northeast,day,defensive_driving,4786,,
D130,41,0,2023-05-28,southeast,day,defensive_driving,4156,,
D131,38,1,2022-07-25,midwest,day,eco_driving,3558,,
D132,46,0,2023-05-25,midwest,rotating,fatigue_awareness,4811,,
D133,37,0,2023-07-10,northeast,day,"eco_driving,defensive_driving",4181,,
D134,32,1,2023-01-03,midwest,rotating,eco_driving,4204,,
D135,47,4,2019-10-07,northeast,day,"eco_driving,defensive_driving",2751,,
D136,40,0,2023-04-24,northeast,day,none,3874,,
D137,62,2,2021-06-28,midwest,day,none,4171,,
D138,27,0,2023-04-12,southeast,night,eco_driving,5015,2024-05-31,voluntary
D139,35,3,2021-01-01,southeast,rotating,defensive_driving,3946,,
D140,45,4,2019-08-11,midwest,night,eco_driving,4004,,
D141,46,1,2022-02-14,southeast,day,"eco_driving,fatigue_awareness",3121,,
D142,38,2,2021-09-23,southeast,rotating,fatigue_awareness,5010,,
D143,21,0,2023-06-09,midwest,night,none,4285,,
D144,47,3,2020-05-07,midwest,night,"eco_driving,defensive_driving",4120,,
D145,41,0,2023-05-01,northeast,rotating,fatigue_awareness,3644,,
D146,41,2,2021-04-06,southeast,day,fatigue_awareness,4166,,
D147,32,0,2023-01-25,midwest,day,defensive_driving,4464,,
D148,62,0,2023-07-10,northeast,day,eco_driving,4406,,
D149,29,1,2022-02-25,southeast,night,fatigue_awareness,3670,,
D150,33,1,2022-09-01,southeast,night,"eco_driving,defensive_driving,fatigue_awareness",3906,,
